구	행정동	법정동	아파트명	시공사	세대수	세대 수준	입주연월			블록	신도시
남구	월천동	월천동	월천주공	LH	2,100세대	1,000세대 이상~ 3,000세대 미만	1994.11	월천동 노동 운동의 성지. 단지 내 주차장은 이미 포화 상태			
남구	월천동	월천동	월천 지웰	신영건설	850세대	500세대 이상 ~ 1,000세대 미만	2018.05	월천역 초역세권 대장주. 공단 간부들이 많이 산다는 소문			
남구	월천동	월천동	월천 페리체	(주)대성건설	450세대	500세대 미만	2012.08	조경이 예쁘지만 밤에 공장 굴뚝 연기가 보임 ~~사이버펑크~~			
남구	월천동	월천동	월천 디오르나인	안천건설	320세대	500세대 미만	2022.12	월천동에서 보기 드문 고가 하이엔드 오피스텔			
남구	월천동	월천동	월천 와이	효빈도시공사	520세대	500세대 이상 ~ 1,000세대 미만	2015.03	~~이름이 왜 와이(Why)인지는 아무도 모름~~ 층고가 높음			
남구	월천동	월천동	월천 투유	로컬건설	400세대	500세대 미만	2009.07	단지 내 상가 국밥집이 월천동 3대 맛집으로 꼽힘			
남구	월천동	신흥동	월천아시아	아시아건설	1,200세대	1,000세대 이상~ 3,000세대 미만	2003.01	신흥동의 터줏대감. 단지가 견고하게 지어짐			
남구	월천동	신흥동	신흥자이	GS건설	950세대	500세대 이상 ~ 1,000세대 미만	2017.06	브랜드빨 덕분에 신흥동에서 가장 인기가 높음			
남구	월천동	신흥동	신흥아파트	신흥건설	250세대	500세대 미만	1988.04	월천동의 화석. 재건축을 간절히 바라는 중			
남구	월천동	신흥동	신흥 블렌하임	동일토건	600세대	500세대 이상 ~ 1,000세대 미만	2010.11	구조가 독특해서 인테리어 덕후들이 선호함			
남구	월천동	박산동	정광플러스원	정광건설	480세대	500세대 미만	2006.02	박산공단 직주근접의 정석. 아침마다 지게차가 돌아다님			
남구	월천동	박산동	씨파라디아	파라디아건설	350세대	500세대 미만	2019.09	사야역(히카와 사요 성지) 인근. <s>고딕풍 인테리어 유행 중</s>			
남구	월천동	박산동	박산 더웰(예정)	(주)웰건설	700세대	500세대 이상 ~ 1,000세대 미만	2027.05	(예정) 박산공단 부지 일부를 재개발하는 신규 단지			
남구	항1동	항동1가	항동희가로	희가로건설	620세대	500세대 이상 ~ 1,000세대 미만	2005.03	쓰르라미 울 적에 팬들이 성지순례 오는 기묘한 곳			
남구	항1동	항동1가	세이라	세이라건설	450세대	500세대 미만	2002.08	연방의 하얀 악마라고 불리는 건담 매니아들의 성지			
남구	항1동	항동1가	효빈 블렌하임	동일토건	500세대	500세대 이상 ~ 1,000세대 미만	2027.05	(예정) 1동의 귀한 신축. 분양가도 프리미엄급			
남구	항1동	항동1가	항동세영리첼	세영종합건설	300세대	500세대 미만	2027.11	(예정) 소규모지만 알찬 신규 단지 예정			
남구	항2동	항동1가	어간신원리브웰	신원종합개발	580세대	500세대 이상 ~ 1,000세대 미만	2014.1	어간역세권의 수혜를 톡톡히 입은 단지			
남구	항2동	항동1가	항동주공 1단지	LH	2,100세대	1,000세대 이상~ 3,000세대 미만	1995.06	항동 최대 규모 구축 단지. 재건축 떡밥의 중심			
남구	항2동	항동1가	항동주공 2단지	LH	2,300세대	1,000세대 이상~ 3,000세대 미만	1997.12	1단지와 함께 항동의 인구 밀도를 책임지는 매머드 단지			
남구	항2동	항동1가	항동아파트	항동건설	350세대	500세대 미만	1990.05	90년대 감성이 살아있는 항동의 산증인			
남구	항2동	항동2가	항동아쿠아	효빈도시공사	850세대	500세대 이상 ~ 1,000세대 미만	2008.04	빚이 많아 보인다는 소문이 있지만 조경은 물의 도시 급			
남구	항2동	항동2가	회주공업사원 1차	회주건설	1,200세대	1,000세대 이상~ 3,000세대 미만	1999.03	회주공업 근로자들의 안식처이자 커뮤니티의 중심			
남구	항2동	항동2가	회주공업사원 2차	회주건설	1,500세대	1,000세대 이상~ 3,000세대 미만	2001.11	1차보다 단지 규모가 크고 상권 접근성 양호			
남구	항2동	항동2가	소여 (Soyo)	소여건설	450세대	500세대 미만	2003.05	마이고(MyGO) 팬들이 벽치기 연습하러 온다는 전설			
남구	항2동	항동2가	해양	해양주택	380세대	500세대 미만	1992.09	바다와 가장 인접하여 짠내가 집안까지 들어옴 주의			
남구	항2동	항동2가	항동푸르지오	대우건설	1,800세대	1,000세대 이상~ 3,000세대 미만	2020.12	항동의 신축 대장주. 2동에서 가장 비싼 몸값 자랑			
남구	항3동	항동1가	항동남서	남서건설	600세대	500세대 이상 ~ 1,000세대 미만	2006.02	러브라이버들이 남서(Love) 드립치며 찾아오는 곳			
남구	항3동	항동1가	어간신영	신영건설	850세대	500세대 이상 ~ 1,000세대 미만	2010.08	공단 배후 주거지로서 직주근접의 표본			
남구	항3동	항동1가	항동주성	주성건설	400세대	500세대 미만	1998.05	죠죠의 기묘한 모험 팬들이 주성(JoSeong)이라며 좋아함			
남구	항3동	항동2가	희산공업사원	희산건설	3,000세대	3000세대이상	1996.1	단일 사원 아파트 치고는 경이로운 세대수 보유			
남구	항3동	항동3가	퍼스타빌	퍼스트건설	2,500세대	1,000세대 이상~ 3,000세대 미만	2015.04	항동 3가의 유일한 대규모 신도심형 단지			
남구	항4동	항동1가	벨라치오	벨라건설	800세대	500세대 이상 ~ 1,000세대 미만	2018.06	이름만 들으면 던전 입구 같지만 실제론 평화로운 단지			
남구	항4동	항동1가	효빈 헤센	신한종합건설	650세대	500세대 이상 ~ 1,000세대 미만	2019.03	서신포역세권 개발의 수혜 단지 중 하나			
